"Label (Grouping)","Total population","Total population!!SEX AND AGE","Total population!!SEX AND AGE!!Male","Total population!!SEX AND AGE!!Female","Total population!!SEX AND AGE!!Median age (years)","Total population!!RACE AND HISPANIC OR LATINO ORIGIN","Total population!!RACE AND HISPANIC OR LATINO ORIGIN!!One race","Total population!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!White","Total population!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Black or African American","Total population!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!American Indian and Alaska Native","Total population!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Asian","Total population!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Native Hawaiian and Other Pacific Islander","Total population!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Some other race","Total population!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races","Total population!!RACE AND HISPANIC OR LATINO ORIGIN!!Hispanic or Latino origin (of any race)","Total population!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone, not Hispanic or Latino","RELATIONSHIP","RELATIONSHIP!!Population in households","RELATIONSHIP!!Population in households!!Householder or spouse","RELATIONSHIP!!Population in households!!Parent","RELATIONSHIP!!Population in households!!Other relatives","RELATIONSHIP!!Population in households!!Nonrelatives","RELATIONSHIP!!Population in households!!Nonrelatives!!Unmarried partner","HOUSEHOLDS BY TYPE","HOUSEHOLDS BY TYPE!!Households","HOUSEHOLDS BY TYPE!!Households!!Family households","HOUSEHOLDS BY TYPE!!Households!!Family households!!Married-couple family","HOUSEHOLDS BY TYPE!!Households!!Family households!!Female householder, no spouse present, family","HOUSEHOLDS BY TYPE!!Households!!Nonfamily households","HOUSEHOLDS BY TYPE!!Households!!Nonfamily households!!Householder living alone","MARITAL STATUS","MARITAL STATUS!!Population 15 years and over","MARITAL STATUS!!Population 15 years and over!!Now married, except separated","MARITAL STATUS!!Population 15 years and over!!Widowed","MARITAL STATUS!!Population 15 years and over!!Divorced","MARITAL STATUS!!Population 15 years and over!!Separated","MARITAL STATUS!!Population 15 years and over!!Never married","EDUCATIONAL ATTAINMENT","EDUCATIONAL ATTAINMENT!!Population 25 years and over","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Less than high school graduate","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate, GED, or alternative","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Some college or associate's degree","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","RESPONSIBILITY FOR GRANDCHILDREN UNDER 18 YEARS","RESPONSIBILITY FOR GRANDCHILDREN UNDER 18 YEARS!!Population 30 years and over","RESPONSIBILITY FOR GRANDCHILDREN UNDER 18 YEARS!!Population 30 years and over!!Living with grandchild(ren)","RESPONSIBILITY FOR GRANDCHILDREN UNDER 18 YEARS!!Population 30 years and over!!Living with grandchild(ren)!!Responsible for grandchild(ren)","VETERAN STATUS","VETERAN STATUS!!Civilian population 18 years and over","VETERAN STATUS!!Civilian population 18 years and over!!Civilian veteran","DISABILITY STATUS","DISABILITY STATUS!!Civilian noninstitutionalized population","DISABILITY STATUS!!Civilian noninstitutionalized population!!With any disability","DISABILITY STATUS!!Civilian noninstitutionalized population!!No disability","RESIDENCE 1 YEAR AGO","RESIDENCE 1 YEAR AGO!!Population 1 year and over","RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Same house","RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Different house in the United States","RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Different house in the United States!!Same county","RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Different house in the United States!!Different county","RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Different house in the United States!!Different county!!Same state","RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Different house in the United States!!Different county!!Different state","RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Abroad","PLACE OF BIRTH, NATIVITY AND CITIZENSHIP STATUS, AND YEAR OF ENTRY","PLACE OF BIRTH, NATIVITY AND CITIZENSHIP STATUS, AND YEAR OF ENTRY!!Total population","PLACE OF BIRTH, NATIVITY AND CITIZENSHIP STATUS, AND YEAR OF ENTRY!!Total population!!Native","PLACE OF BIRTH, NATIVITY AND CITIZENSHIP STATUS, AND YEAR OF ENTRY!!Total population!!Foreign born","PLACE OF BIRTH, NATIVITY AND CITIZENSHIP STATUS, AND YEAR OF ENTRY!!Total population!!Foreign born!!Entered  2010 or later","PLACE OF BIRTH, NATIVITY AND CITIZENSHIP STATUS, AND YEAR OF ENTRY!!Total population!!Foreign born!!Entered  2000 to 2009","PLACE OF BIRTH, NATIVITY AND CITIZENSHIP STATUS, AND YEAR OF ENTRY!!Total population!!Foreign born!!Entered  before 2000","PLACE OF BIRTH, NATIVITY AND CITIZENSHIP STATUS, AND YEAR OF ENTRY!!Total population!!Foreign born!!Naturalized U.S. citizen","PLACE OF BIRTH, NATIVITY AND CITIZENSHIP STATUS, AND YEAR OF ENTRY!!Total population!!Foreign born!!Not a U.S. citizen","LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH","LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH!!Population 5 years and over","LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH!!Population 5 years and over!!English only","LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH!!Population 5 years and over!!Language other than English","LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH!!Population 5 years and over!!Language other than English!!Speak English less than ""very well""","EMPLOYMENT STATUS","EMPLOYMENT STATUS!!Civilian population 16 years and over","EMPLOYMENT STATUS!!Civilian population 16 years and over!!In labor force","EMPLOYMENT STATUS!!Civilian population 16 years and over!!In labor force!!Employed","EMPLOYMENT STATUS!!Civilian population 16 years and over!!In labor force!!Unemployed","EMPLOYMENT STATUS!!Civilian population 16 years and over!!In labor force!!Unemployed!!Percent of civilian labor force","EMPLOYMENT STATUS!!Civilian population 16 years and over!!Not in labor force","INCOME IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS)","INCOME IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS)!!Households","INCOME IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS)!!Households!!With earnings","INCOME IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS)!!Households!!With earnings!!Mean earnings (dollars)","INCOME IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS)!!Households!!With Social Security income","INCOME IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS)!!Households!!With Social Security income!!Mean Social Security income (dollars)","INCOME IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS)!!Households!!With Supplemental Security Income","INCOME IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS)!!Households!!With Supplemental Security Income!!Mean Supplemental Security Income (dollars)","INCOME IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS)!!Households!!With cash public assistance income","INCOME IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS)!!Households!!With cash public assistance income!!Mean cash public assistance income (dollars)","INCOME IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS)!!Households!!With retirement income","INCOME IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS)!!Households!!With retirement income!!Mean retirement income (dollars)","INCOME IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS)!!Households!!With Food Stamp/SNAP benefits","POVERTY STATUS IN THE PAST 12 MONTHS","POVERTY STATUS IN THE PAST 12 MONTHS!!Population for whom poverty status is determined","POVERTY STATUS IN THE PAST 12 MONTHS!!Population for whom poverty status is determined!!Below 100 percent of the poverty level","POVERTY STATUS IN THE PAST 12 MONTHS!!Population for whom poverty status is determined!!100 to 149 percent of the poverty level","POVERTY STATUS IN THE PAST 12 MONTHS!!Population for whom poverty status is determined!!At or above 150 percent of the poverty level","Occupied housing units","Occupied housing units!!HOUSING TENURE","Occupied housing units!!HOUSING TENURE!!Owner-occupied housing units","Occupied housing units!!HOUSING TENURE!!Renter-occupied housing units","Occupied housing units!!HOUSING TENURE!!Average household size of owner-occupied unit","Occupied housing units!!HOUSING TENURE!!Average household size of renter-occupied unit","Occupied housing units!!SELECTED CHARACTERISTICS","Occupied housing units!!SELECTED CHARACTERISTICS!!No telephone service available","Occupied housing units!!SELECTED CHARACTERISTICS!!1.01 or more occupants per room","Owner-occupied housing units","Owner-occupied housing units!!SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS","Owner-occupied housing units!!SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!Less than 30 percent","Owner-occupied housing units!!SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!30 percent or more","Owner-occupied housing units!!OWNER CHARACTERISTICS","Owner-occupied housing units!!OWNER CHARACTERISTICS!!Median value (dollars)","Owner-occupied housing units!!OWNER CHARACTERISTICS!!Median selected monthly owner costs with a mortgage (dollars)","Owner-occupied housing units!!OWNER CHARACTERISTICS!!Median selected monthly owner costs without a mortgage (dollars)","Renter-occupied housing units","Renter-occupied housing units!!GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS","Renter-occupied housing units!!GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!Less than 30 percent","Renter-occupied housing units!!GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!30 percent or more","Renter-occupied housing units!!GROSS RENT","Renter-occupied housing units!!GROSS RENT!!Median gross rent (dollars)"
"Alabama","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,893,186","","48.3%","51.7%","39.2","","97.6%","67.5%","26.6%","0.5%","1.4%","0.0%","1.5%","2.4%","4.4%","65.2%","","4,776,007","58.2%","1.0%","36.2%","4.6%","1.8%","","1,888,504","65.4%","47.3%","13.9%","34.6%","30.0%","","3,989,274","48.0%","6.9%","12.2%","2.1%","30.8%","","3,344,006","13.1%","30.3%","30.3%","26.2%","","3,009,356","4.0%","2.0%","","3,785,626","8.6%","","4,813,429","16.2%","83.8%","","4,838,779","86.8%","12.8%","7.6%","5.3%","3.0%","2.3%","0.3%","","4,893,186","4,725,133","168,053","27.8%","31.7%","40.5%","39.8%","60.2%","","4,599,254","94.7%","5.3%","2.1%","","3,912,191","57.4%","54.2%","3.2%","5.6%","42.6%","","1,888,504","72.1%","74,821","35.9%","19,700","6.6%","9,833","1.6%","2,622","23.4%","24,896","13.4%","","4,771,614","16.0%","9.9%","74.1%","1,888,504","","69.2%","30.8%","2.60","2.37","","1.8%","1.7%","1,306,505","","82.7%","17.3%","","149,600","1,196","367","581,999","","59.2%","40.8%","","811"
"    65 years and over","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","827,434","","43.5%","56.5%","73.0","","98.9%","77.8%","19.4%","0.4%","0.8%","0.1%","0.3%","1.1%","1.1%","77.1%","","806,161","90.9%","3.9%","3.5%","1.7%","0.7%","","524,167","55.1%","43.0%","9.5%","44.9%","42.9%","","827,434","55.1%","25.6%","13.7%","1.1%","4.6%","","827,434","17.1%","34.2%","25.6%","23.1%","","827,434","4.5%","1.7%","","827,434","18.4%","","807,669","39.5%","60.5%","","827,434","94.6%","5.2%","3.1%","2.1%","1.1%","1.0%","0.2%","","827,434","807,543","19,891","8.9%","9.6%","81.5%","74.0%","26.0%","","827,434","97.6%","2.4%","1.0%","","827,434","15.2%","14.8%","0.4%","2.6%","84.8%","","524,167","32.9%","53,013","91.2%","21,580","7.1%","9,427","1.0%","2,517","52.4%","26,060","9.0%","","807,669","10.2%","11.1%","78.6%","524,167","","83.3%","16.7%","1.99","1.63","","1.6%","0.4%","436,487","","80.5%","19.5%","","146,900","1,086","362","87,680","","57.0%","43.0%","","667"
"Alaska","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","736,990","","52.2%","47.8%","34.6","","90.7%","63.4%","3.2%","14.6%","6.4%","1.4%","1.7%","9.3%","7.2%","59.7%","","709,895","53.8%","1.0%","37.5%","7.7%","3.0%","","255,173","65.8%","49.9%","10.3%","34.2%","26.3%","","582,468","49.2%","4.0%","11.4%","1.8%","33.7%","","483,436","6.9%","28.4%","34.7%","30.0%","","422,108","4.2%","1.7%","","534,765","12.1%","","711,104","12.3%","87.7%","","727,126","82.7%","16.6%","9.7%","6.9%","2.7%","4.2%","0.8%","","736,990","679,648","57,342","27.1%","23.5%","49.4%","58.5%","41.5%","","684,688","84.2%","15.8%","4.6%","","553,818","66.4%","61.7%","4.8%","7.2%","33.6%","","255,173","83.5%","94,644","24.2%","17,837","4.3%","10,476","6.1%","3,901","22.0%","36,023","10.3%","","719,445","10.3%","7.0%","82.7%","255,173","","64.8%","35.2%","2.89","2.58","","1.6%","6.5%","165,376","","77.9%","22.1%","","275,600","1,937","591","89,797","","59.7%","40.3%","","1,240"
"    65 years and over","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","87,629","","49.6%","50.4%","71.4","","96.7%","75.4%","2.3%","11.5%","6.1%","0.6%","0.7%","3.3%","2.8%","73.9%","","85,110","86.9%","4.9%","3.6%","4.7%","1.2%","","53,561","54.6%","43.6%","7.4%","45.4%","41.6%","","87,629","55.2%","19.4%","18.3%","1.1%","5.9%","","87,629","9.5%","26.8%","31.8%","31.8%","","87,629","7.1%","2.5%","","87,629","24.3%","","86,067","37.5%","62.5%","","87,629","93.7%","6.2%","3.4%","2.8%","1.0%","1.8%","0.1%","","87,629","78,763","8,866","6.1%","14.3%","79.6%","77.4%","22.6%","","87,629","84.5%","15.5%","6.6%","","87,629","23.4%","22.6%","0.9%","3.7%","76.6%","","53,561","46.6%","65,719","84.6%","19,140","6.6%","9,856","8.6%","3,482","57.2%","37,675","8.8%","","86,067","6.5%","8.2%","85.3%","53,561","","82.1%","17.9%","2.13","1.60","","1.6%","2.3%","43,983","","78.3%","21.7%","","273,200","1,646","544","9,578","","50.2%","49.8%","","920"
"Arizona","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","7,174,064","","49.7%","50.3%","37.9","","93.0%","73.8%","4.5%","4.3%","3.3%","0.2%","6.9%","7.0%","31.5%","54.1%","","7,016,130","55.5%","1.5%","35.9%","7.0%","2.9%","","2,643,430","65.1%","47.5%","12.1%","34.9%","27.5%","","5,815,372","47.2%","5.5%","12.2%","1.7%","33.4%","","4,846,056","12.1%","23.8%","33.8%","30.3%","","4,332,742","4.2%","1.4%","","5,513,138","8.9%","","7,065,326","13.2%","86.8%","","7,093,842","83.0%","16.3%","10.8%","5.5%","1.8%","3.8%","0.6%","","7,174,064","6,226,453","947,611","20.3%","23.4%","56.3%","45.2%","54.8%","","6,742,840","73.3%","26.7%","8.3%","","5,699,675","59.9%","56.4%","3.5%","5.8%","40.1%","","2,643,430","74.8%","84,708","34.3%","21,338","4.3%","10,509","1.8%","3,061","23.2%","28,725","10.5%","","7,012,999","14.1%","9.1%","76.8%","2,643,430","","65.3%","34.7%","2.69","2.59","","1.9%","4.4%","1,727,176","","78.8%","21.2%","","242,000","1,464","430","916,254","","55.8%","44.2%","","1,097"
"    65 years and over","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,262,204","","46.1%","53.9%","73.3","","97.6%","87.7%","2.3%","2.3%","2.2%","0.1%","2.9%","2.4%","12.7%","79.5%","","1,244,432","88.9%","4.7%","3.3%","3.2%","1.3%","","766,098","56.3%","47.5%","6.6%","43.7%","39.8%","","1,262,204","59.0%","20.2%","15.5%","1.0%","4.3%","","1,262,204","11.7%","25.1%","32.9%","30.3%","","1,262,204","4.9%","1.3%","","1,262,204","20.6%","","1,250,283","33.6%","66.4%","","1,262,204","91.0%","8.4%","4.3%","4.1%","0.8%","3.3%","0.5%","","1,262,204","1,102,271","159,933","10.9%","7.3%","81.8%","67.4%","32.6%","","1,262,204","83.4%","16.6%","7.5%","","1,262,204","15.5%","14.9%","0.6%","4.0%","84.5%","","766,098","33.6%","56,879","90.7%","23,039","5.2%","10,691","1.2%","2,840","54.6%","29,478","6.4%","","1,250,283","8.9%","8.6%","82.5%","766,098","","81.9%","18.1%","1.97","1.59","","1.8%","1.1%","627,723","","76.0%","24.0%","","232,700","1,270","427","138,375","","45.5%","54.5%","","973"
"Arkansas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
