"Jurisdictions
","Citation

","Explicit Private Right of Action?

",Effective_date
"Alabama

"," Ala. Code § 8-38-1 et seq.
 Ala. Code § 27-6 (for insurance industry)

"," NO.
 For insurance industry: NO. Ala. Code § 27-2(b).

",0
"Alaska

"," Alaska Stat. § 45.48.010 et seq.

"," NO.

",0
"Arizona

"," Ariz. Rev. Stat. §18-551 to Ariz. Rev. Stat. §18-552

"," NO.

",0
"Arkansas

"," Ark. Code Ann. § 4-110-101 et seq., “Personal Information Protection Act”

"," NO.

",0
"California

"," Cal. Civ. Code §1798.82 (as applicable to non-governmental entities); Cal. Civ. Code §1798.29 (as applicable to governmental entities).

"," YES. Cal. Civ. Code §1798.84 (as applicable to non-governmental entities); Cal. Civ. Code §1798.45 (as applicable to governmental entities)

",1/1/2020
"Colorado

"," Colo. Rev. Stat. § 6-1-716. See also Colo. Rev. Stat. § 24-73-101 et seq., which applies to governmental entities.

"," NO.

",0
"Connecticut

"," Conn. Gen. Stat. § 36a-701b. 

"," NO.

",0
"Delaware

"," Del. Code tit. 6, § 12B-101 et seq.
 Effective 4/14/18, Del. Code tit. 6, § 12B-100 et seq.

"," NO.

",0
"District of Columbia

"," D.C. Code § 28-3851 et seq. 
 Amended By D.C. Law 23-98, § 2, 67 DCR 3923, eff. 6/17/2020 (Security Breach Protection Amendment Act Of 2020).

"," NO. D.C. Code § 28-3853(a) was repealed by the 2020 Amendment. However, a violation of this statute, or any rule issued pursuant to the authority of this statute, is considered an unfair or deceptive trade practice. D.C. Code § 28-3853(b).

",0
"Florida

"," Fla. Stat. § 501.171,
 the “Florida Information Protection Act of 2014.”

"," NO.

",0
"Georgia

"," Ga. Code § 10-1-911 and § 10-1-912.

"," NO.

",0
"Guam

"," 9 Guam Code Ann. § 48.10 et seq.

"," No, the attorney general has exclusive authority to bring action. 9 Guam Code Ann. § 48.50.

",0
"Hawaii

"," Haw. Rev. Stat. § 487N-1 et seq. 

"," YES. Haw. Rev. Stat. § 487N-3(b).

",1/1/2007
"Idaho

"," Idaho Code § 28-51-104, Idaho Code § 28-51-105, Idaho Code § 28-51-106, Idaho Code § 28-51-107.

"," NO.

",0
"Illinois

"," 815 Ill. Comp. Stat. 530/1 et seq., “Personal Information Protection Act”.

"," NO.

",0
"Indiana

"," Ind. Code § 24-4.9-1-1 et seq. (applicable to non-governmental entities); Ind. Code § 4-1-11-1 et seq. (applicable to state and local agencies).

"," NO.

",0
"Iowa

"," Iowa Code § 715C.1 - Iowa Code § 715C.2.

"," NO.

",0
"Kansas

"," Kan. Stat. § 50-7a01 et seq.

"," NO.

",0
"Kentucky

"," Ky. Rev. Stat. § 365.720 et seq.

"," No applicable provision.

",0
"Louisiana

"," La. Rev. Stat. § 51:3071 et seq., “Database Security Breach Notification Law”.

"," YES. La. Rev. Stat. § 51:3075.

",1/1/2006
"Maine

"," Me. Rev. Stat. Ann. tit. 10, § 1346 et seq. “the Notice of Risk to Personal Data Act.”

"," NO.

",0
