data
"1 Florida 178.7 33,595"
"2 Georgia 120.0 11,625"
"3 California 103.6 38,607"
"4 Arizona 98.5 6,296"
"5 Texas 96.1 24,162"
"6 New York 92.3 17,880"
"7 Nevada 89.9 2,427"
"8 New Jersey 86.4 7,599"
"9 Maryland 86.3 4,980"
10 Delaware 83.5 750
"11 Colorado 82.6 4,156"
"12 Alabama 82.5 3,942"
"13 Michigan 82.1 8,119"
"14 Illinois 80.8 10,361"
"15 Pennsylvania 79.2 10,061"
"16 New Mexico 78.2 1,610"
"17 Mississippi 74.5 2,210"
"18 Washington 72.2 4,853"
"19 Missouri 71.5 4,282"
"20 South Carolina 68.5 3,168"
"21 Virginia 67.7 5,416"
"22 Connecticut 67.5 2,413"
"23 Tennessee 67.4 4,275"
"24 Kansas 67.1 1,914"
"25 North Carolina 65.9 6,287"
"26 Ohio 64.8 7,479"
"27 Louisiana 64.7 2,934"
"28 Arkansas 63.9 1,862"
"29 Massachusetts 63.0 4,128"
30 Rhode Island 58.3 614
"31 Oregon 58.1 2,226"
"32 Oklahoma 56.4 2,115"
"33 Indiana 54.8 3,555"
"34 Utah 54.8 1,514"
"35 Minnesota 50.4 2,671"
36 Wyoming 49.7 280
"37 Wisconsin 48.9 2,782"
38 Nebraska 47.6 869
39 New Hampshire 46.9 617
40 Alaska 44.5 316
"41 Kentucky 43.6 1,891"
42 Hawaii 42.9 583
43 Idaho 42.0 658
44 Vermont 41.4 259
"45 Iowa 39.7 1,208"
46 West Virginia 39.4 731
47 Montana 39.4 390
48 Maine 37.9 503
49 South Dakota 25.3 206
50 North Dakota 23.2 156
