"Jurisdictions
","Citation

","Apply to Encrypted Data?

",Effective_Date
"Alabama

"," Ala. Code § 8-38-1 et seq.
 Ala. Code § 27-6 (for insurance industry)

"," YES, if the covered entity knows or has reason to know that the encryption key or security credential that could render the information readable has been breached as well.Ala. Code § 8-38-2(6)(b)(2).
 For insurance industry: NO. Ala. Code § 27-3(4)(b).

",5/1/2018
"Alaska

"," Alaska Stat. § 45.48.010 et seq.

"," YES, if information is encrypted and encryption key has been accessed or acquired. Alaska Stat. § 45.48.090(7).

",7/1/2009
"Arizona

"," Ariz. Rev. Stat. §18-551 to Ariz. Rev. Stat. §18-552

"," NO.

",0
"Arkansas

"," Ark. Code Ann. § 4-110-101 et seq., “Personal Information Protection Act”

"," NO.

",0
"California

"," Cal. Civ. Code §1798.82 (as applicable to non-governmental entities); Cal. Civ. Code §1798.29 (as applicable to governmental entities).

"," YES, a breach of encrypted data will trigger a notification requirement if the encryption key or a security credential is also acquired by an unauthorized person, and the owner of licensor of personal information has a reasonable belief that the encryption key or security credential could be used to render the encrypted personal information readable or usable. Cal. Civ. Code §1798.82(a) (as applicable to non-governmental entities); Cal. Civ. Code §1798.29(a) (as applicable to governmental entities).

",1/1/2017
"Colorado

"," Colo. Rev. Stat. § 6-1-716. See also Colo. Rev. Stat. § 24-73-101 et seq., which applies to governmental entities.

"," YES. “The breach of encrypted or otherwise secured personal information must be disclosed in accordance with this section if the confidential process, encryption key, or other means to decipher the secured information was also acquired in the security breach or was reasonably believed to have been acquired.” Colo. Rev. Stat. § 6-1-716(2)(a.4).

",9/1/2018
"Connecticut

"," Conn. Gen. Stat. § 36a-701b. 

"," NO.

",0
"Delaware

"," Del. Code tit. 6, § 12B-101 et seq.
 Effective 4/14/18, Del. Code tit. 6, § 12B-100 et seq.

"," NO.
 Effective 4/14/18, notification is not required if the affected data is encrypted, unless the encryption key is affected as well and the data owner or licensee reasonably believes that the personal information could be rendered readable. Del. Code tit. 6, § 12B-101(1)(b).

",4/14/2018
"District of Columbia

"," D.C. Code § 28-3851 et seq. 
 Amended By D.C. Law 23-98, § 2, 67 DCR 3923, eff. 6/17/2020 (Security Breach Protection Amendment Act Of 2020).

"," NO.

",0
"Florida

"," Fla. Stat. § 501.171,
 the “Florida Information Protection Act of 2014.”

"," NO.

",0
"Georgia

"," Ga. Code § 10-1-911 and § 10-1-912.

"," NO.

",0
"Guam

"," 9 Guam Code Ann. § 48.10 et seq.

"," No. 9 Guam Code Ann. § 48.20.

",0
"Hawaii

"," Haw. Rev. Stat. § 487N-1 et seq. 

"," YES, encrypted records or data containing personal information along with the confidential process or key. Haw. Rev. Stat. § 487N-1.

",1/1/2007
