"Jurisdictions
","Citation

",Harm Required,Effective date
"Alabama

"," Ala. Code § 8-38-1 et seq.
 Ala. Code § 27-6 (for insurance industry)

"," YES. Ala. Code § 8-38-6(a).

",5/1/2018
"Alaska

"," Alaska Stat. § 45.48.010 et seq.

"," YES. If, after investigation, entity determines there is not reasonable likelihood of harm to affected individuals, must notify AG. Alaska Stat. § 45.48.010.

",7/1/2009
"Arizona

"," Ariz. Rev. Stat. §18-551 to Ariz. Rev. Stat. §18-552

"," YES. Ariz. Rev. Stat. §18-552(J).

",12/31/2006
"Arkansas

"," Ark. Code Ann. § 4-110-101 et seq., “Personal Information Protection Act”

"," YES. Ark. Code Ann. § 4-110-105(d).

",8/13/2005
"California

"," Cal. Civ. Code §1798.82 (as applicable to non-governmental entities); Cal. Civ. Code §1798.29 (as applicable to governmental entities).

"," NO.

",7/1/2003
"Colorado

"," Colo. Rev. Stat. § 6-1-716. See also Colo. Rev. Stat. § 24-73-101 et seq., which applies to governmental entities.

"," YES, based on a determination that personal information “has been or will be misused.” Colo. Rev. Stat. § 6-1-716(2).

",9/1/2006
"Connecticut

"," Conn. Gen. Stat. § 36a-701b. 

"," YES. Conn. Gen. Stat. § 36a-701b(b)(1).

",1/1/2006
"Delaware

"," Del. Code tit. 6, § 12B-101 et seq.
 Effective 4/14/18, Del. Code tit. 6, § 12B-100 et seq.

"," YES. Del. Code tit. 6, § 12B-102(a).

",6/28/2005
"District of Columbia

"," D.C. Code § 28-3851 et seq. 
 Amended By D.C. Law 23-98, § 2, 67 DCR 3923, eff. 6/17/2020 (Security Breach Protection Amendment Act Of 2020).

"," NO. However, the 2020 Amendment created a new exception for notice if low risk of harm (not likely to harm affected individuals) after consulting with AG and federal law enforcement agencies. D.C. Code § 28-3851(1)(B)(iii)).

",6/17/2020
"Florida

"," Fla. Stat. § 501.171,
 the “Florida Information Protection Act of 2014.”

"," YES. Fla. Stat. § 501.171(4)(c).

",7/1/2005
"Georgia

"," Ga. Code § 10-1-911 and § 10-1-912.

"," NO.

",7/1/2005
"Guam

"," 9 Guam Code Ann. § 48.10 et seq.

"," Yes. 9 Guam Code Ann. § 48.30.

",6/11/2009
"Hawaii

"," Haw. Rev. Stat. § 487N-1 et seq. 

"," YES. Haw. Rev. Stat. § 487N-1.

",1/1/2007
"Idaho

"," Idaho Code § 28-51-104, Idaho Code § 28-51-105, Idaho Code § 28-51-106, Idaho Code § 28-51-107.

"," YES. Idaho Code § 28-51-105(1).

",7/1/2006
"Illinois

"," 815 Ill. Comp. Stat. 530/1 et seq., “Personal Information Protection Act”.

"," NO.

",1/1/2006
"Indiana

"," Ind. Code § 24-4.9-1-1 et seq. (applicable to non-governmental entities); Ind. Code § 4-1-11-1 et seq. (applicable to state and local agencies).

"," YES. Ind. Code § 24-4.9-3-1 (applicable to non-governmental entities); Ind. Code § 4-1-11-5 (applicable to state and local agencies).

",7/1/2006
"Iowa

"," Iowa Code § 715C.1 - Iowa Code § 715C.2.

"," YES. Iowa Code § 715C.2(6).

",5/10/2008
"Kansas

"," Kan. Stat. § 50-7a01 et seq.

"," YES. Kan. Stat. § 50-7a02(a).

",1/1/2007
"Kentucky

"," Ky. Rev. Stat. § 365.720 et seq.

"," YES. Breach must have actually caused or lead the information holder to reasonably believe that it has caused or will cause, identity theft or fraud against any KY resident. Ky. Rev. Stat. § 365.732(1)(a).

",7/15/2014
"Louisiana

"," La. Rev. Stat. § 51:3071 et seq., “Database Security Breach Notification Law”.

"," YES. La. Rev. Stat. § 51:3074(G). Effective 8/1/2018, La. Rev. Stat. § 51:3074(I).

",1/1/2006
"Maine

"," Me. Rev. Stat. Ann. tit. 10, § 1346 et seq. “the Notice of Risk to Personal Data Act.”

"," YES, but for Information Broker must notify, if it finds that personal information has been/reasonably believed to have been acquired; any other individual or entity must notify if it finds that misuse has occurred/reasonably possible that it will occur. Me. Rev. Stat. Ann. tit. 10, § 1348(1).

",1/31/2006
"Maryland

"," Md. Code Ann., Com. Law. § 14-3501 et seq.
 Md. Code, Ins. § 4-406 (insurance carriers).

"," YES. If, after investigation, entity determines personal information has not been/ is not likely to be misused, must retain documentation for 3 years. Md. Code Ann., Com. Law. § 14-3504(b)(4).

",1/1/2008
"Massachusetts

"," Mass. Gen. Laws ch. 93H, § 1 et seq.

"," YES, per definition of breach must create a substantial risk of identity theft or fraud against a MA resident. Mass. Gen. Laws ch. 93H, § 1(a).

",1/1/2008
"Michigan

"," Mich. Comp. Laws § 445.61 et seq.
 [For the insurance industry, Mich. Comp. Laws § 500.559 et seq.]

"," YES. Notification not required if person or agency determines that the security breach has not or is not likely to cause substantial loss or injury to, or result in identity theft with respect to MI residents. Mich. Comp. Laws § 445.72(1) - (3); Mich. Comp. Laws § 500.559(1) (insurance industry).

",7/2/2007
