state,year,percent_broadband,percent_internet_connection,percent_over_60
Alabama,2000,0.021,0.33899999999999997,0.1731195610622653
Alabama,2001,0.055,0.359,0.17420255464597742
Alabama,2002,0.102,0.382,0.17528554822968956
Alabama,2003,0.14800000000000002,0.406,0.17636854181340167
Alabama,2004,0.214,0.441,0.1774515353971138
Alabama,2005,0.28,0.475,0.17853452898082592
Alabama,2006,0.34600000000000003,0.51,0.18244434152419098
Alabama,2007,0.41200000000000003,0.545,0.18663262927004348
Alabama,2008,0.47600000000000003,0.5820000000000001,0.1912696540037324
Alabama,2009,0.539,0.619,0.19326787730307338
Alabama,2010,0.619,0.662,0.18908614281006592
Alabama,2011,0.648,0.695,0.19305817217927027
Alabama,2012,0.7,0.7190000000000001,0.19728756212157178
Alabama,2013,0.682,0.6940000000000001,0.20137491542996996
Alabama,2014,0.7040000000000001,0.71,0.20575555277874527
Alabama,2015,0.6844987393828826,0.688592875827967,0.21045393758979178
Alabama,2016,0.7478374368205897,0.7511538349424944,0.2147737610211098
Alabama,2017,0.7037376852313899,0.7085137839009638,0.21968157226964538
Alabama,2018,0.7347192971010388,0.7384491167675212,0.22464704769892366
Alabama,2019,0.7649925234018037,0.7683127459656415,0.22982291720071776
Alabama,2020,0.7999473501527009,0.8031838958244197,0.2348465805305582
Alaska,2000,0.048,0.516,0.08458014585313878
Alaska,2001,0.133,0.5670000000000001,0.08894491652792744
Alaska,2002,0.179,0.574,0.09330968720271608
Alaska,2003,0.225,0.581,0.09767445787750474
Alaska,2004,0.335,0.63,0.10203922855229339
Alaska,2005,0.445,0.68,0.10640399922708205
Alaska,2006,0.555,0.7290000000000001,0.10717361163967626
Alaska,2007,0.665,0.778,0.1114812766467977
Alaska,2008,0.735,0.809,0.11308289608082846
Alaska,2009,0.805,0.84,0.11711404735759293
Alaska,2010,0.778,0.8220000000000001,0.11763931428306874
Alaska,2011,0.77,0.8,0.12219014332748683
Alaska,2012,0.8270000000000001,0.833,0.12794685708419873
Alaska,2013,0.823,0.83,0.13387180070968852
Alaska,2014,0.858,0.863,0.14
Alaska,2015,0.8177884415415679,0.8217199272538321,0.14518356911539118
Alaska,2016,0.8580844609320013,0.8632821932804224,0.15118035434379898
Alaska,2017,0.8294895480364395,0.8342731333354453,0.15847894227319193
Alaska,2018,0.8438455885157354,0.8478193969904759,0.16557664288925358
Alaska,2019,0.8559491974798527,0.8593820308984551,0.17243456506048288
Alaska,2020,0.873672327418881,0.876440689257876,0.17959673808328472
Arizona,2000,0.052000000000000005,0.37200000000000005,0.16986913113238292
Arizona,2001,0.129,0.419,0.17026102238112306
Arizona,2002,0.177,0.449,0.1706529136298632
Arizona,2003,0.225,0.48,0.17104480487860335
Arizona,2004,0.307,0.517,0.1714366961273435
Arizona,2005,0.389,0.5539999999999999,0.17182858737608364
Arizona,2006,0.47100000000000003,0.591,0.17262992275130798
