"Jurisdictions
","Citation

","Online Posting of Data Breaches

",Effective_Date
"Alabama

"," Ala. Code § 8-38-1 et seq.
 Ala. Code § 27-6 (for insurance industry)

"," NO.

",0
"Alaska

"," Alaska Stat. § 45.48.010 et seq.

"," NO.

",0
"Arizona

"," Ariz. Rev. Stat. §18-551 to Ariz. Rev. Stat. §18-552

"," NO.

",0
"Arkansas

"," Ark. Code Ann. § 4-110-101 et seq., “Personal Information Protection Act”

"," NO.

",0
"California

"," Cal. Civ. Code §1798.82 (as applicable to non-governmental entities); Cal. Civ. Code §1798.29 (as applicable to governmental entities).

"," YES: https://oag.ca.gov/ecrime/databreach/list.

",1/1/2012
"Colorado

"," Colo. Rev. Stat. § 6-1-716. See also Colo. Rev. Stat. § 24-73-101 et seq., which applies to governmental entities.

"," NO.

",0
"Connecticut

"," Conn. Gen. Stat. § 36a-701b. 

"," NO.

",0
"Delaware

"," Del. Code tit. 6, § 12B-101 et seq.
 Effective 4/14/18, Del. Code tit. 6, § 12B-100 et seq.

"," NO.

",0
"District of Columbia

"," D.C. Code § 28-3851 et seq. 
 Amended By D.C. Law 23-98, § 2, 67 DCR 3923, eff. 6/17/2020 (Security Breach Protection Amendment Act Of 2020).

"," NO.

",0
"Florida

"," Fla. Stat. § 501.171,
 the “Florida Information Protection Act of 2014.”

"," NO.

",0
"Georgia

"," Ga. Code § 10-1-911 and § 10-1-912.

"," NO.

",0
"Guam

"," 9 Guam Code Ann. § 48.10 et seq.

"," NO.

",0
"Hawaii

"," Haw. Rev. Stat. § 487N-1 et seq. 

"," NO.

",0
"Idaho

"," Idaho Code § 28-51-104, Idaho Code § 28-51-105, Idaho Code § 28-51-106, Idaho Code § 28-51-107.

"," NO.

",0
"Illinois

"," 815 Ill. Comp. Stat. 530/1 et seq., “Personal Information Protection Act”.

"," Effective 1/1/2020, upon receiving notification under 815 Ill. Comp. Stat. 530/10(e)(2), the Attorney General may publish (i) the name of the data collector who suffered the breach; (ii) the types of personal information compromised in the breach; and (iii) the date range of the breach.

",1/1/2020
"Indiana

"," Ind. Code § 24-4.9-1-1 et seq. (applicable to non-governmental entities); Ind. Code § 4-1-11-1 et seq. (applicable to state and local agencies).

"," NO.

",0
"Iowa

"," Iowa Code § 715C.1 - Iowa Code § 715C.2.

"," NO.

",0
"Kansas

"," Kan. Stat. § 50-7a01 et seq.

"," NO.

",0
"Kentucky

"," Ky. Rev. Stat. § 365.720 et seq.

"," NO.

",0
"Louisiana

"," La. Rev. Stat. § 51:3071 et seq., “Database Security Breach Notification Law”.

"," NO.

",0
"Maine

"," Me. Rev. Stat. Ann. tit. 10, § 1346 et seq. “the Notice of Risk to Personal Data Act.”

"," NO.

",0
"Maryland

"," Md. Code Ann., Com. Law. § 14-3501 et seq.
 Md. Code, Ins. § 4-406 (insurance carriers).

"," YES: http://www.marylandattorneygeneral.gov/Pages/IdentityTheft/breachnotices.aspx.

",1/1/2018
"Massachusetts

"," Mass. Gen. Laws ch. 93H, § 1 et seq.

"," YES: http://www.mass.gov/ocabr/data-privacy-and-security/data/data-breach-notification-reports.html.

",0
"Michigan

"," Mich. Comp. Laws § 445.61 et seq.
 [For the insurance industry, Mich. Comp. Laws § 500.559 et seq.]

"," NO.

",0
"Minnesota

"," Minn. Stat. § 325E.61 (applicable to non-government entities); Minn. Stat. § 13.055 (applicable to government entities).

"," NO.

",0
"Mississippi

"," Miss. Code § 75-24-29.
 2019 Miss. S.B. 2831 § 6 (for insurance industry).

"," NO.

",0
"Missouri

"," Mo. Rev. Stat. § 407.1500 

"," NO.

",0
"Montana

"," Mont. Code § 30-14-1701 et seq.

"," YES.

",10/1/2015
"Nebraska

"," Neb. Rev. Stat. § 87-801 et seq., “Financial Data Protection and Consumer Notification of Data Security Breach Act of 2006.”

"," NO.

",0
"Nevada

"," Nev. Rev. Stat. § 603A.010 et seq.

"," NO.

",0
"New Hampshire

"," N.H. Rev. Stat. § 359-C:19 et seq., “New Hampshire Right to Privacy Act.”
 For the insurance industry: N.H. Rev. Stat. § 420-P:1 et seq., “Insurance Data Security Law.”

"," YES: http://doj.nh.gov/consumer/security-breaches/.

",1/1/2007
"New Jersey

"," N.J. Rev. Stat. § 56:8-161 et seq.

"," NO.

",0
"New Mexico

"," N.M. Stat. Ann. §57-12C-1 et seq.

"," NO.

",0
"New York

"," N.Y. Gen. Bus. Law § 899-aa (applicable to non-governmental entities); N.Y. State Tech. § 208 (applicable to governmental entities); N.Y. Educ. Law § 2-D (applicable to educational agencies and their third-party contractors).

"," NO.

",0
"North Carolina

"," N.C. Gen. Stat. § 75-61 et seq. “Identity Theft Protection Act”, N.C. Gen. Stat. § 75-65.

"," NO.

",0
"North Dakota

"," N.D. Cent. Code § 51-30-01, et seq.; N.D. Cent. Code § 54-NEW-01, et seq.
 For insurance industry, N.D. Cent. Code §§ 26.1-02-01 et. seq.

"," NO.

",0
"Ohio

"," Ohio Rev. Code § 1349.19 - Ohio Rev. Code § 1349.192.
 For insurance industry: Ohio Rev. Code § 3965.01 et. seq..

"," NO.

",0
"Oklahoma

"," Okla. Stat. tit. 24 § 161 to Okla. Stat. tit. 24 § 166 “Security Breach Notification Act”

"," NO.

",0
"Oregon

"," Or. Rev. Stat. § 646A.600 et seq., “Oregon Consumer Information Protection Act.”

"," YES: https://justice.oregon.gov/consumer/databreach/.

",1/1/2016
"Pennsylvania

"," 73 Pa. Stat. § 2301 et seq., “Breach of Personal Information Notification Act”

"," NO.

",0
"Puerto Rico

"," P.R. Laws Ann. tit. 10, § 4051 et seq.

"," NO.

",0
"Rhode Island

"," R.I. Gen. Laws § 11-49.3-1 et seq., “Rhode Island Identity Theft Protection Act of 2015.”

"," NO.

",0
"South Carolina

"," S.C. Code § 39-1-90. [For the insurance industry, S.C. Code § 38-99-10 et seq.]

"," NO.

",0
"South Dakota

"," SB 62, 93rd Sess. (S.D. 2018), eff. 7/1/2018.

"," NO.

",0
"Tennessee

"," Tenn. Code § 47-18-2107.
 [Applicable to state insurance licensees] Tenn. Code § 56-2-1001 et seq. (effective July 1, 2021). 2021 Tenn. Pub. Acts. Ch. 345. Insurance Data Security Law, HB 766.

"," NO.

",0
"Texas

"," Tex. Bus. Com. Code § 521.002, Tex. Bus. Com. Code § 521.052, Tex. Bus. Com. Code § 521.053, Tex. Bus. Com. Code § 521.151

"," NO.

",0
"U.S. Virgin Islands

"," V.I. Code Ann. tit. 14, §2208 - 2212.

"," NO.

",0
"Utah

"," Utah Code § 13-44-101 et seq., “Protection of Personal Information Act.”

"," NO.

",0
"Vermont

"," Vt. Stat. tit. 9, §2430 et seq., “Security Breach Notice Act”

"," YES.

",7/1/2015
"Virginia

"," Va. Code § 18.2-186.6.
 For insurance industry: Va. Code § 38.2-621 (et. seq.).

"," NO.

",0
"Washington

"," Wash. Rev. Code § 19.255.010 et seq.

"," YES.

",7/24/2015
"West Virginia

"," W. Va. Code § 46A-2A-101, et seq.

"," NO.

",0
"Wisconsin

"," Wis. Stat. § 134.98.

"," NO.

",0
"Wyoming

"," Wyo. Stat. § 40-12-501 et seq.

"," NO.

",0
