,state,id_theft_raw,id_theft_per_capita,year
0,Alabama,273.0,5.934354722422495,2002
1,Alaska,65.0,9.699218749999998,2002
2,Arizona,856.0,13.883112037748273,2002
3,Arkansas,172.0,6.12127521145088,2002
4,California,5619.0,15.406234901922891,2002
5,Colorado,493.0,10.375995449374289,2002
6,Connecticut,275.0,7.8503253796095445,2002
7,Delaware,64.0,7.502284710017576,2002
8,Florida,2849.0,15.751220472440943,2002
9,Georgia,768.0,8.198713508164275,2002
10,Hawaii,124.0,9.637723577235771,2002
11,Idaho,74.0,5.050139275766017,2002
12,Illinois,1389.0,10.830892857142855,2002
13,Indiana,510.0,8.075865580448065,2002
14,Iowa,127.0,4.257732949087416,2002
15,Kansas,178.0,6.436900369003689,2002
16,Kentucky,190.0,4.5186862967157415,2002
17,Louisiana,310.0,7.227836879432624,2002
18,Maine,60.0,4.537142857142858,2002
19,Maryland,797.0,14.190571305841924,2002
20,Massachusetts,499.0,7.748976109215017,2002
21,Michigan,1146.0,11.351886792452833,2002
22,Minnesota,376.0,7.279108635097492,2002
23,Mississippi,169.0,5.803012048192771,2002
24,Missouri,517.0,8.84396482813749,2002
25,Montana,49.0,5.1822580645161285,2002
26,Nebraska,87.0,4.921313364055299,2002
27,Nevada,405.0,16.23246492985972,2002
28,New Hampshire,84.0,6.3900990099009904,2002
29,New Jersey,1048.0,12.014138254613698,2002
30,New Mexico,148.0,7.568908081431217,2002
31,New York,2779.0,14.39161196207148,2002
32,North Carolina,668.0,7.542310368823941,2002
33,North Dakota,10.0,1.5714285714285716,2002
34,Ohio,868.0,7.55934864786275,2002
35,Oklahoma,227.0,6.34472049689441,2002
36,Oregon,467.0,12.624760213143873,2002
37,Pennsylvania,1160.0,9.317326732673267,2002
38,Rhode Island,66.0,6.1814634146341465,2002
39,South Carolina,251.0,5.80593853820598,2002
40,South Dakota,14.0,1.7915254237288134,2002
41,Tennessee,454.0,7.5216756756756755,2002
42,Texas,2352.0,10.0027378297316,2002
43,Utah,148.0,5.799873176918199,2002
44,Vermont,24.0,3.842696629213483,2002
45,Virginia,644.0,8.424527934592176,2002
46,Washington,829.0,12.957008995502248,2002
47,West Virginia,80.0,4.397202797202796,2002
48,Wisconsin,362.0,6.509148264984227,2002
49,Wyoming,24.0,4.656880733944954,2002
0,Alabama,395.0,8.586337418889691,2003
1,Alaska,44.0,6.565624999999999,2003
2,Arizona,1282.0,20.79223087896412,2003
3,Arkansas,328.0,11.673129472999353,2003
4,California,7882.0,21.61095274905788,2003
5,Colorado,738.0,15.532423208191126,2003
6,Connecticut,408.0,11.64702819956616,2003
7,Delaware,123.0,14.41845342706503,2003
8,Florida,3608.0,19.947491563554557,2003
9,Georgia,1141.0,12.1806407718951,2003
10,Hawaii,160.0,12.435772357723577,2003
11,Idaho,109.0,7.438718662952645,2003
12,Illinois,1904.0,14.846666666666666,2003
13,Indiana,726.0,11.49623217922607,2003
14,Iowa,206.0,6.90624399615754,2003
15,Kansas,278.0,10.053136531365313,2003
16,Kentucky,279.0,6.63533408833522,2003
17,Louisiana,421.0,9.81586879432624,2003
18,Maine,87.0,6.578857142857144,2003
19,Maryland,973.0,17.324248281786943,2003
20,Massachusetts,774.0,12.019453924914675,2003
21,Michigan,1759.0,17.424056603773586,2003
22,Minnesota,538.0,10.415320334261837,2003
23,Mississippi,252.0,8.653012048192771,2003
24,Missouri,712.0,12.179696243005596,2003
25,Montana,55.0,5.816820276497696,2003
26,Nebraska,132.0,7.466820276497695,2003
27,Nevada,573.0,22.965931863727455,2003
28,New Hampshire,124.0,9.433003300330032,2003
29,New Jersey,1293.0,14.822786987801063,2003
30,New Mexico,295.0,15.086674892041952,2003
31,New York,3696.0,19.140481400437636,2003
32,North Carolina,1134.0,12.803862212943635,2003
33,North Dakota,18.0,2.8285714285714287,2003
34,Ohio,1243.0,10.825196277987787,2003
35,Oklahoma,377.0,10.537267080745343,2003
36,Oregon,687.0,18.572184724689166,2003
37,Pennsylvania,1475.0,11.84746287128713,2003
38,Rhode Island,117.0,10.958048780487806,2003
39,South Carolina,433.0,10.015822259136211,2003
40,South Dakota,33.0,4.222881355932203,2003
41,Tennessee,640.0,10.603243243243242,2003
42,Texas,3635.0,15.459163270014612,2003
43,Utah,232.0,9.091693088142042,2003
44,Vermont,35.0,5.603932584269663,2003
45,Virginia,924.0,12.087366167023557,2003
46,Washington,1078.0,16.84880059970015,2003
47,West Virginia,102.0,5.606433566433566,2003
48,Wisconsin,415.0,7.462145110410095,2003
49,Wyoming,48.0,9.313761467889908,2003
0,Alabama,520.0,11.303532804614278,2004
1,Alaska,95.0,14.175781249999998,2004
2,Arizona,1467.0,23.792669812355978,2004
3,Arkansas,338.0,12.029017566688356,2004
4,California,8724.0,23.919557445163782,2004
5,Colorado,853.0,17.95278725824801,2004
6,Connecticut,456.0,13.017266811279825,2004
7,Delaware,135.0,15.825131810193323,2004
8,Florida,4193.0,23.181771653543308,2004
9,Georgia,1424.0,15.201781296387924,2004
10,Hawaii,171.0,13.290731707317073,2004
11,Idaho,139.0,9.486072423398328,2004
12,Illinois,2133.0,16.632321428571426,2004
13,Indiana,854.0,13.523116089613035,2004
14,Iowa,211.0,7.073871277617674,2004
15,Kansas,361.0,13.05461254612546,2004
16,Kentucky,368.0,8.751981879954698,2004
17,Louisiana,501.0,11.681117021276595,2004
18,Maine,101.0,7.6375238095238105,2004
19,Maryland,1119.0,19.92377577319588,2004
20,Massachusetts,804.0,12.485324232081911,2004
21,Michigan,1956.0,19.37547169811321,2004
22,Minnesota,573.0,11.092896935933146,2004
23,Mississippi,267.0,9.168072289156626,2004
24,Missouri,896.0,15.327258193445246,2004
25,Montana,86.0,9.095391705069124,2004
26,Nebraska,168.0,9.503225806451614,2004
27,Nevada,650.0,26.052104208416832,2004
28,New Hampshire,119.0,9.052640264026403,2004
29,New Jersey,1485.0,17.023850484829524,2004
30,New Mexico,318.0,16.26292412091302,2004
31,New York,4152.0,21.501969365426696,2004
32,North Carolina,1148.0,12.96193458594294,2004
33,North Dakota,35.0,5.5,2004
34,Ohio,1486.0,12.94146554230881,2004
35,Oklahoma,445.0,12.437888198757763,2004
36,Oregon,762.0,20.599715808170515,2004
37,Pennsylvania,1744.0,14.008118811881188,2004
38,Rhode Island,104.0,9.74048780487805,2004
39,South Carolina,506.0,11.70440199335548,2004
40,South Dakota,50.0,6.398305084745762,2004
41,Tennessee,753.0,12.475378378378377,2004
42,Texas,4511.0,19.18467276782281,2004
43,Utah,334.0,13.088902980342422,2004
44,Vermont,53.0,8.485955056179776,2004
45,Virginia,1029.0,13.460930504185324,2004
46,Washington,1334.0,20.85,2004
47,West Virginia,146.0,8.024895104895103,2004
48,Wisconsin,543.0,9.763722397476341,2004
49,Wyoming,43.0,8.343577981651377,2004
0,Alabama,641.0,13.933777937995677,2005
1,Alaska,98.0,14.623437499999996,2005
2,Arizona,1596.0,25.884867771315708,2005
3,Arkansas,371.0,13.20344827586207,2005
4,California,9496.0,26.036235385061357,2005
5,Colorado,998.0,21.004550625711037,2005
6,Connecticut,552.0,15.757744034707157,2005
7,Delaware,166.0,19.459050966608086,2005
8,Florida,4638.0,25.642035995500564,2005
9,Georgia,1603.0,17.11267936665017,2005
10,Hawaii,226.0,17.56552845528455,2005
11,Idaho,168.0,11.465181058495821,2005
12,Illinois,2297.0,17.91113095238095,2005
13,Indiana,867.0,13.728971486761713,2005
14,Iowa,265.0,8.884245917387126,2005
15,Kansas,315.0,11.391143911439112,2005
16,Kentucky,417.0,9.917327293318232,2005
17,Louisiana,575.0,13.406471631205674,2005
18,Maine,139.0,10.51104761904762,2005
19,Maryland,1227.0,21.846713917525776,2005
20,Massachusetts,917.0,14.240102389078498,2005
21,Michigan,1841.0,18.236320754716985,2005
22,Minnesota,671.0,12.990111420612811,2005
23,Mississippi,318.0,10.919277108433734,2005
24,Missouri,839.0,14.352198241406876,2005
25,Montana,125.0,13.220046082949308,2005
26,Nebraska,171.0,9.672926267281106,2005
27,Nevada,781.0,31.302605210420843,2005
28,New Hampshire,176.0,13.38877887788779,2005
29,New Jersey,1547.0,17.734610572411633,2005
30,New Mexico,363.0,18.564281307834673,2005
31,New York,4236.0,21.936980306345735,2005
32,North Carolina,1220.0,13.77487821851079,2005
33,North Dakota,35.0,5.5,2005
34,Ohio,1648.0,14.352311718522827,2005
35,Oklahoma,514.0,14.366459627329194,2005
36,Oregon,764.0,20.653783303730016,2005
37,Pennsylvania,2034.0,16.337450495049506,2005
38,Rhode Island,144.0,13.486829268292684,2005
39,South Carolina,642.0,14.850249169435216,2005
40,South Dakota,59.0,7.549999999999999,2005
41,Tennessee,793.0,13.138081081081081,2005
42,Texas,5139.0,21.855471814196722,2005
43,Utah,310.0,12.148383005707037,2005
44,Vermont,59.0,9.446629213483146,2005
45,Virginia,1124.0,14.70367919018883,2005
46,Washington,1439.0,22.49111694152924,2005
47,West Virginia,150.0,8.244755244755243,2005
48,Wisconsin,638.0,11.471924290220821,2005
49,Wyoming,67.0,13.00045871559633,2005
2,Arizona,9113.0,147.8,2006
3,Nevada,2994.0,120.0,2006
4,California,41396.0,113.5,2006
5,Texas,26006.0,110.6,2006
6,Florida,17780.0,98.3,2006
7,Colorado,4395.0,92.5,2006
8,Georgia,8084.0,86.3,2006
9,New York,16452.0,85.2,2006
10,Washington,5336.0,83.4,2006
11,New Mexico,1621.0,82.9,2006
12,Maryland,4656.0,82.9,2006
13,Illinois,10080.0,78.6,2006
14,Oregon,2815.0,76.1,2006
15,New Jersey,6394.0,73.3,2006
16,Virginia,5137.0,67.2,2006
17,Michigan,6784.0,67.2,2006
18,Delaware,569.0,66.7,2006
19,Connecticut,2305.0,65.8,2006
20,Pennsylvania,8080.0,64.9,2006
21,North Carolina,5748.0,64.9,2006
22,Missouri,3753.0,64.2,2006
23,Massachusetts,4102.0,63.7,2006
24,Oklahoma,2254.0,63.0,2006
25,Indiana,3928.0,62.2,2006
26,Utah,1577.0,61.8,2006
27,Tennessee,3700.0,61.3,2006
28,Alabama,2774.0,60.3,2006
29,Ohio,6878.0,59.9,2006
30,Kansas,1626.0,58.8,2006
31,Rhode Island,615.0,57.6,2006
32,Alaska,384.0,57.3,2006
33,South Carolina,2408.0,55.7,2006
34,Minnesota,2872.0,55.6,2006
35,Arkansas,1537.0,54.7,2006
36,Louisiana,2256.0,52.6,2006
37,Mississippi,1494.0,51.3,2006
38,Nebraska,868.0,49.1,2006
39,Idaho,718.0,49.0,2006
40,Hawaii,615.0,47.8,2006
41,New Hampshire,606.0,46.1,2006
42,Montana,434.0,45.9,2006
43,Wisconsin,2536.0,45.6,2006
44,Wyoming,218.0,42.3,2006
45,Kentucky,1766.0,42.0,2006
46,Maine,525.0,39.7,2006
47,West Virginia,715.0,39.3,2006
48,Iowa,1041.0,34.9,2006
49,South Dakota,236.0,30.2,2006
50,North Dakota,189.0,29.7,2006
51,Vermont,178.0,28.5,2006
2,Arizona,8688.0,137.1,2007
3,California,43892.0,120.1,2007
4,Nevada,2930.0,114.2,2007
5,Texas,25796.0,107.9,2007
6,Florida,19270.0,105.6,2007
7,New York,19319.0,100.1,2007
8,Georgia,8744.0,91.6,2007
9,Colorado,4328.0,89.0,2007
10,New Mexico,1723.0,87.5,2007
11,Maryland,4821.0,85.8,2007
12,Illinois,10304.0,80.2,2007
13,New Jersey,6864.0,79.0,2007
14,Washington,4942.0,76.4,2007
15,Pennsylvania,9016.0,72.5,2007
16,Michigan,7079.0,70.3,2007
17,Delaware,603.0,69.7,2007
18,Alabama,3221.0,69.6,2007
19,Virginia,5319.0,69.0,2007
20,Connecticut,2409.0,68.8,2007
21,Oregon,2552.0,68.1,2007
22,Missouri,3962.0,67.4,2007
23,North Carolina,6069.0,67.0,2007
24,Massachusetts,4292.0,66.5,2007
25,Tennessee,3986.0,64.7,2007
26,Oklahoma,2312.0,63.9,2007
27,Indiana,4026.0,63.4,2007
28,Ohio,7178.0,62.6,2007
29,Louisiana,2674.0,62.3,2007
